AdaptiveCircularScribblesPFM: OK (1 paths, 35203 pts, 0.41s)
AdaptiveDashesPFM: OK (74 paths, 148 pts, 0.33s)
AdaptiveDiagramPFM: OK (74 paths, 504 pts, 0.35s)
AdaptiveLettersPFM: OK (800 paths, 4973 pts, 0.16s)
AdaptiveShapesPFM: OK (74 paths, 1258 pts, 0.34s)
AdaptiveStipplingPFM: OK (3000 paths, 27000 pts, 0.18s)
AdaptiveTreePFM: OK (73 paths, 146 pts, 0.34s)
AdaptiveTriangulationPFM: OK (222 paths, 444 pts, 0.39s)
AdaptiveTSPPFM: OK (1 paths, 74 pts, 0.56s)
AmbientFlowPFM: OK (200 paths, 29416 pts, 0.23s)
ContourPathsPFM: OK (5515 paths, 23364 pts, 0.27s)
EdgeShadingPFM: OK (1362 paths, 5531 pts, 0.16s)
GridDashesPFM: OK (1551 paths, 3102 pts, 0.12s)
GridLettersPFM: OK (1551 paths, 9321 pts, 0.13s)
GridShapesPFM: OK (1551 paths, 9308 pts, 0.14s)
Hatch3WayPFM: OK (11411 paths, 94791 pts, 0.37s)
Hatch4WayPFM: OK (15066 paths, 126197 pts, 0.46s)
Hatch5WayPFM: OK (18951 paths, 157750 pts, 0.51s)
Hatch6WayPFM: OK (22749 paths, 189295 pts, 0.51s)
HatchCircularScribblesPFM: OK (2575 paths, 164351 pts, 0.41s)
HatchCrossPFM: OK (7543 paths, 63217 pts, 0.23s)
HatchDiagonal1PFM: OK (3806 paths, 31663 pts, 0.17s)
HatchDiagonal2PFM: OK (3737 paths, 31554 pts, 0.16s)
HatchGridPFM: OK (7523 paths, 62980 pts, 0.21s)
HatchHorizontalPFM: OK (3868 paths, 31574 pts, 0.16s)
HatchLinesPFM: OK (7543 paths, 63215 pts, 0.23s)
HatchSawtoothPFM: OK (1993 paths, 102703 pts, 0.28s)
HatchVerticalPFM: OK (3655 paths, 31406 pts, 0.15s)
LabyrinthClassicPFM: OK (76 paths, 26455 pts, 0.14s)
LabyrinthRomanPFM: OK (76 paths, 26455 pts, 0.14s)
LayersPFM: OK (511 paths, 20529 pts, 4.53s)
LBGCircularScribblesPFM: OK (1 paths, 35203 pts, 0.61s)
LBGDashesPFM: OK (74 paths, 148 pts, 0.50s)
LBGDiagramPFM: OK (74 paths, 504 pts, 0.54s)
LBGLettersPFM: OK (800 paths, 4936 pts, 0.89s)
LBGShapesPFM: OK (74 paths, 1258 pts, 1.01s)
LBGStipplingPFM: OK (3000 paths, 27000 pts, 0.35s)
LBGTreePFM: OK (73 paths, 146 pts, 0.70s)
LBGTriangulationPFM: OK (222 paths, 444 pts, 0.51s)
LBGTSPPFM: OK (1 paths, 74 pts, 0.53s)
MazeCirclePFM: OK (102 paths, 300 pts, 0.12s)
MazeHexPFM: OK (85 paths, 295 pts, 0.10s)
MazeHilbertPFM: OK (917 paths, 5561 pts, 0.10s)
MazeLabyrinthPFM: OK (85 paths, 295 pts, 0.10s)
MazePeanoPFM: OK (436 paths, 2189 pts, 0.11s)
MazeRectPFM: OK (85 paths, 295 pts, 0.10s)
MazeTriPFM: OK (89 paths, 351 pts, 0.10s)
MazeVoronoiPFM: OK (82 paths, 304 pts, 0.09s)
MosaicCustomPFM: OK (599 paths, 4195 pts, 0.10s)
MosaicRectanglesPFM: OK (399 paths, 1995 pts, 0.10s)
MosaicVoronoiPFM: OK (200 paths, 1379 pts, 0.17s)
SketchAbstractPFM: OK (500 paths, 1000 pts, 0.18s)
SketchCatmullRomsPFM: OK (105 paths, 6965 pts, 0.20s)
SketchCubicBeziers2PFM: OK (1000 paths, 21000 pts, 0.24s)
SketchCubicBeziersPFM: OK (105 paths, 1236 pts, 0.20s)
SketchCurvesPFM: OK (105 paths, 6965 pts, 0.20s)
SketchDelaunayPFM: OK (1500 paths, 3000 pts, 0.18s)
SketchFlowFieldsPFM: OK (996 paths, 78329 pts, 0.27s)
SketchLinesPFM: OK (105 paths, 791 pts, 0.19s)
SketchQuadBeziers2PFM: OK (1000 paths, 21000 pts, 0.24s)
SketchQuadBeziersPFM: OK (105 paths, 1236 pts, 0.17s)
SketchRadialPFM: OK (11815 paths, 212811 pts, 0.60s)
SketchScribblePFM: OK (1000 paths, 80980 pts, 0.31s)
SketchShapesPFM: OK (67 paths, 882 pts, 0.14s)
SketchSobelEdgesPFM: OK (13 paths, 628 pts, 0.14s)
SketchSpiralsPFM: OK (1 paths, 417 pts, 0.10s)
SketchSquaresPFM: OK (80 paths, 400 pts, 0.13s)
SketchSuperformulaPFM: OK (100 paths, 10100 pts, 0.18s)
SketchSweepingCurvesPFM: OK (1000 paths, 21000 pts, 0.20s)
SketchVoronoiPFM: OK (2476 paths, 4952 pts, 0.17s)
SketchWavesPFM: OK (100 paths, 92800 pts, 0.24s)
SpiralCircularScribblesPFM: OK (1 paths, 2700091 pts, 5.89s)
SpiralSawtoothPFM: OK (1 paths, 86188 pts, 0.25s)
StippleChaosPFM: OK (5000 paths, 27579 pts, 0.19s)
StippleCirclesPFM: OK (5000 paths, 65000 pts, 0.21s)
StippleCrossesPFM: OK (5000 paths, 25000 pts, 0.17s)
StippleDotsPFM: OK (5000 paths, 35000 pts, 0.17s)
StippleHexagonsPFM: OK (5000 paths, 35000 pts, 0.18s)
StippleLayersPFM: OK (6000 paths, 42000 pts, 0.34s)
StippleLinesPFM: OK (5000 paths, 10000 pts, 0.16s)
StippleSquaresPFM: OK (5000 paths, 25000 pts, 0.18s)
StippleStarsPFM: OK (5000 paths, 60000 pts, 0.22s)
StippleTrianglesPFM: OK (5000 paths, 20000 pts, 0.17s)
StippleVariableCirclesPFM: OK (5000 paths, 45000 pts, 0.20s)
StippleVariableSquaresPFM: OK (5000 paths, 25000 pts, 0.19s)
StreamlinesEdgeFieldPFM: OK (120 paths, 21108 pts, 0.12s)
StreamlinesFlowFieldPFM: OK (119 paths, 23414 pts, 0.10s)
StreamlinesSuperformulaPFM: OK (119 paths, 23221 pts, 0.11s)
TSPClassicPFM: OK (1 paths, 2000 pts, 0.42s)
TSPMSTPFM: OK (2993 paths, 5986 pts, 0.18s)
TSPOutlinePFM: OK (1 paths, 2000 pts, 0.43s)
TSPShadingPFM: OK (1 paths, 2000 pts, 0.47s)
TSPStipplePFM: OK (1 paths, 2000 pts, 0.48s)
TSPVoronoiPFM: OK (1 paths, 2000 pts, 0.54s)
VoronoiCirclesPFM: OK (800 paths, 13600 pts, 0.67s)
VoronoiDashesPFM: OK (3966 paths, 7932 pts, 0.69s)
VoronoiDiagramPFM: OK (800 paths, 5566 pts, 0.90s)
VoronoiLettersPFM: OK (800 paths, 4973 pts, 0.18s)
VoronoiShapesPFM: OK (800 paths, 13600 pts, 0.62s)
VoronoiStipplingPFM: OK (800 paths, 7200 pts, 0.67s)
VoronoiTreePFM: OK (799 paths, 1598 pts, 0.69s)
VoronoiTriangulationPFM: OK (2400 paths, 4800 pts, 0.70s)
VoronoiTSPPFM: OK (1 paths, 800 pts, 0.88s)
